,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
3,0.85699999,AND,WesternDem,32367.33,,,,2.997809886932373,
110,0.75800002,MEX,LatAm,13609.42,119.7129974365234,5.800000190734862,2.814059019088745,5.3134799003601065,67.40973663330078
173,0.71799999,TON,Pacific,3962.0601,0.1040000021457672,,,,75.42909240722656
85,0.90200001,JPN,EastAsia,36123.77,127.12000274658199,2.5999999046325684,4.430102348327637,3.591840028762817,99.04267120361328
20,0.75400001,BRA,LatAm,9815.2402,202.7689971923828,4.099999904632568,2.720419406890869,5.993949890136719,82.8290786743164
66,0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,,,
77,0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,6.300000190734862,4.464125156402588,3.278609991073608,75.01837158203125
16,0.60399997,BTN,SouthAsia,5639.02,0.765999972820282,6.800000190734862,4.0338730812072745,5.924600124359131,62.83831024169922
127,0.94800001,NOR,WesternDem,57634.77,5.156000137329102,1.6000000238418581,5.048264026641847,7.373290061950684,95.2019271850586
78,0.77399999,IRN,NorthAfrica,12889.28,75.1500015258789,6.199999809265138,3.0124309062957764,2.9541900157928467,80.731201171875
134,0.69199997,PRY,LatAm,4812.9199,6.559000015258789,5.199999809265137,2.3244397640228267,4.955399990081787,66.45951843261719
82,0.88099998,ITA,WesternDem,32931.672,60.78300094604492,2.0,3.736852645874023,4.079850196838379,95.72698974609376
65,0.57499999,GHA,SubSaharian,2584.6001,,7.5999999046325675,3.8389039039611816,6.178549766540527,51.05852890014648
150,0.84500003,SAU,NorthAfrica,20872.711,30.770000457763672,3.7000000476837163,4.109292984008788,,87.83480834960938
5,0.78399998,ATG,Caribbean,12257.71,,7.300000190734862,,,79.73143768310547
13,0.741,ARM,EastEurope,6451.9399,2.9800000190734863,6.0,3.4553134441375732,2.246599912643433,
11,0.82300001,BHR,NorthAfrica,22498.48,1.26800000667572,3.5,4.319009780883788,2.467459917068481,88.25039672851562
165,0.72299999,SUR,Caribbean,6049.1499,0.546999990940094,7.300000190734862,2.884561777114868,,58.39226913452148
149,0.565,STP,SubSaharian,2150.55,,7.9000000953674325,,3.7568199634552,64.42681121826172
29,0.514,CMR,SubSaharian,2658.51,,7.5,3.810850858688355,3.029900074005127,43.13555908203125
83,0.46599999,CIV,SubSaharian,1354.29,22.52400016784668,6.699999809265138,3.562078714370728,4.729380130767822,
86,0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,3.5999999046325684,3.581974983215332,2.7874999046325684,95.94628143310548
76,0.61500001,IND,SouthAsia,4256.79,,5.5,4.156626701354981,3.842360019683838,61.75524139404297
146,0.73500001,LCA,Caribbean,11095.8,0.1669999957084656,,,4.901659965515137,77.71405792236328
114,0.80400002,MNE,EastEurope,14538.52,0.621999979019165,3.5999999046325684,4.25305986404419,,
111,,MCO,WesternDem,108481.13,,,,1.0219500064849851,
12,0.57499999,BGD,SouthAsia,1796.64,154.6950073242188,7.5,3.293149709701538,1.9572600126266482,57.23989868164063
185,0.51899999,TZA,SubSaharian,1416.3,43.88000106811523,7.0,3.0042104721069336,3.479140043258667,
117,0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,1.8999999761581419,3.535049200057983,4.960380077362061,94.32984161376952
121,0.92299998,NLD,WesternDem,42258.352,16.86499977111816,2.5999999046325684,5.304530620574951,5.529379844665527,93.88201904296876
18,0.74699998,BIH,EastEurope,8507.6504,3.871000051498413,5.5,2.355769157409668,,
112,0.73299998,MNG,EastAsia,6277.8999,2.881999969482422,3.0999999046325684,2.909875631332398,4.599870204925537,
129,,MHL,Pacific,2833.97,0.0540000014007092,,,,64.4613037109375
191,0.70200002,WSM,Pacific,3167.75,0.1920000016689301,8.899999618530273,,,79.54598236083984
79,0.64899999,IRQ,NorthAfrica,4178.2598,32.57799911499023,8.100000381469728,,,
6,0.75800002,AZE,EastEurope,9793.3096,9.342000007629396,4.300000190734863,3.089141368865967,2.634660005569458,
24,0.792,BGR,EastEurope,13967.45,7.202000141143799,4.599999904632568,3.387006282806397,4.061970233917236,88.16580963134766
139,0.42100000000000004,GNB,SubSaharian,961.26001,,8.5,,2.173130035400391,
60,0.47,DJI,SubSaharian,2685.5,,5.800000190734862,,,
90,0.89899999,KOR,EastAsia,33181.891,50.74700164794922,3.5,3.6152341365814213,5.052110195159912,96.77686309814452
48,0.92299998,DNK,WesternDem,37406.762,5.626999855041504,1.8999999761581419,4.81274938583374,8.627109527587892,89.81745910644531
80,0.92000002,IRL,WesternDem,46422.07,4.620999813079834,2.799999952316284,5.434197425842285,5.324570178985597,99.57335662841795
160,0.66500002,ZAF,SubSaharian,8820.0596,54.14699935913086,4.900000095367432,2.218669414520264,6.029550075531006,
157,0.67799997,VNM,SouthEastAsia,4147.5698,89.69100189208984,5.599999904632568,3.336011409759522,5.658730030059815,
119,,NRU,Pacific,3130.47,0.0120000001043081,,,,71.94534301757812
174,0.77899998,TTO,Caribbean,22089.16,1.353999972343445,7.5,4.182013988494873,,
38,0.72399998,COL,LatAm,8761.1396,47.6619987487793,6.699999809265138,3.405907869338989,4.659409999847412,78.58606719970703
52,0.67799997,SLV,LatAm,332.26999,,6.9000000953674325,3.804579257965088,3.448570013046265,70.17172241210939
175,0.83600003,ARE,NorthAfrica,20310.109,,2.5,5.27984094619751,,
73,0.62300003,HND,LatAm,3303.1399,,6.9000000953674325,3.1801576614379883,5.86775016784668,49.259361267089844
153,0.78100002,SYC,SubSaharian,9583.3203,0.0900000035762787,5.5,4.323356151580811,3.6064400672912598,74.57037353515625
151,0.491,SEN,SubSaharian,1527.99,,7.4000000953674325,3.760167360305786,7.396200180053711,
36,0.73400003,CHN,EastAsia,9283.3799,,4.599999904632568,4.028250217437743,,
115,0.64499998,MAR,NorthAfrica,3999.5601,33.179000854492195,7.5999999046325675,3.170891284942627,,56.14244842529297
180,0.48800001,UGA,SubSaharian,1343.45,37.599998474121094,7.300000190734862,3.571631669998169,2.213870048522949,
0,0.479,AFG,SouthAsia,1282.64,29.82500076293945,8.100000381469728,,3.780280113220215,48.75032043457031
32,0.34700000000000003,CAF,SubSaharian,690.03998,,6.9000000953674325,,1.22393000125885,13.60074996948242
140,0.60299999,TLS,SouthEastAsia,1957.8101,1.146000027656555,7.0,2.449350833892822,7.7750000953674325,51.84904861450195
177,0.764,TUR,NorthAfrica,16900.711,77.69599914550781,3.7000000476837163,3.4221570491790767,4.766260147094727,87.16455078125
1,0.76200002,ALB,EastEurope,8516.7002,,7.0999999046325675,4.111338615417481,3.539439916610718,85.27821350097656
